Entry number,Fermi name,Counterpart name,Bzcat5 name,Optical Class,RA (J2000.0),Dec (J2000.0),Redshift,SED Class,Log νSync. Z corr. (Hz),Probability Bayesian,Reliability LR RG,Reliability LR XG,Significance,Flux 1-100 GeV (ph/cm2/s),Spectral Index,Spectral Type,Power Law Index,Radio flux (mJy),X Flux (erg cm-2 s-1),USNO Vmag,SDSS Vmag
1,3FGL J0001.2- 0748,PMN J0001-0746,5BZBJ0001-0746,bll,0.325103733,-7.774145247,0,ISP,14.486,1,0.86,0,11.25,0.00000000069521899,2.1493,PowerLaw,2.15,209.1692,8.10e- 13,17.6118,17.21
2,3FGL J0001.4+2120,TXS 2358+209,,fsrq,0.385020884,21.2267929,1.106,ISP,14.486,0.92,0,0,11.35,0.00000000029448677,2.3051,LogParabola,2.78,217.8677,2.31e- 12,18.7142,18.42
3,3FGL J0002.2- 4152,1RXS J000135.5- 415519,,bcu II,0.386415285,-41.92366916,-999,HSP,15.8,0.97,0,0,5.16,0.00000000027140307,2.0889,PowerLaw,2.09,13.2,0,18.4274,0
4,3FGL J0003.2- 5246,RBS 0006,,bcu II,0.831208332,-52.7910278,0,HSP,16.85,1,0,0.9,5.67,0.00000000025903737,1.8952,PowerLaw,1.9,65.3,4.85e- 12,18.8131,0
5,3FGL J0003.8- 1151,PMN J0004-1148,5BZBJ0004-1148,bcu II,1.020479133,-11.81621827,0,LSP,12.515,0.99,0.87,0,4.18,0.00000000023389926,2.0235,PowerLaw,2.02,459.597,0,18.575,0
6,3FGL J0003.8- 1151,PKS 0001-121,,bcu I,0.928482077,-11.8637214,1.30999,-,0,0.99,0.87,0,4.18,0.00000000023389926,2.0235,PowerLaw,2.02,352.4785,0,17.4233,0
7,3FGL J0004.7- 4740,PKS 0002-478,5BZQJ0004-4736,fsrq,1.148564588,-47.6054455,0.88,LSP,13.419,0.99,0.93,0,14.52,0.00000000069288186,2.4035,PowerLaw,2.4,932.9,1.49e- 12,17.2964,0
8,3FGL J0006.4+3825,S4 0003+38,5BZQJ0005+3820,fsrq,1.4882308,38.33754137,0.229,LSP,13.235,0.99,0.84,0,10.55,0.00000000060568678,2.6171,PowerLaw,2.62,572.7561,0,17.7239,0
9,3FGL J0008.0+4713,MG4 J000800+4712,5BZBJ0007+4712,bll,1.999888613,47.20215794,2.1,HSP,15.891,1,0.84,0.84,24.74,0.0000000019663688,2.021,PowerLaw,2.02,60.8634,1.48e- 12,18.283,0
10,3FGL J0008.6- 2340,RBS 0016,5BZBJ0008-2339,bll,2.14749865,-23.65777998,0.147,ISP,14.78,1,0,0.89,6.66,0.0000000002284548,1.5989,PowerLaw,1.6,36.2558,4.71e- 12,16.6408,0
11,3FGL J0009.1+0630,CRATES J000903.95+062821.5,5BZBJ0009+0628,bll,2.26638275,6.472566569,0,LSP,13.44,0.99,0.87,0.8,8.97,0.00000000054901528,2.1794,PowerLaw,2.18,247.0644,1.30e- 12,18.7042,18.11
12,3FGL J0009.1+0630,GB6 J0009+0625,5BZQJ0009+0625,bll,2.32106318333,6.43187437778,0,ISP,14.822,0.93,0,0,8.97,0.00000000054901528,2.1794,PowerLaw,2.18,180.0831,0,19.4921,19.2
13,3FGL J0009.3+5030,NVSS J000922+503028,5BZBJ0009+5030,bll,2.344833529,50.50801062,0,HSP,15.15,1,0.85,0,36.49,0.0000000030936393,1.9286,PowerLaw,1.93,12.2673,0,0,0
14,3FGL J0009.6- 3211,IC 1531,,bcu I,2.398157371,-32.27692485,0.025,ISP,14.656,0.96,0.85,0,5.54,0.00000000027656774,2.3097,PowerLaw,2.31,388.8466,5.01e- 13,8.91,0
15,3FGL J0013.2- 3954,PKS 0010-401,5BZBJ0012-3954,bll,3.249624337,-39.90723724,0,LSP,12.27,1,0.92,0,12.02,0.00000000060675814,2.2118,PowerLaw,2.21,494.6114,0,18.09,0
16,3FGL J0013.9- 1853,RBS 0030,5BZGJ0013-1854,bll,3.483512921,-18.90186098,0.0944,HSP,16.76,1,0,0.94,5.58,0.00000000023734373,1.9352,PowerLaw,1.94,29.6284,1.26e- 11,12.946,0
17,3FGL J0014.0- 5025,RBS 0032,5BZBJ0014-5022,bll,3.54675,-50.37575,0,HSP,16.925,1,0,0.91,5.65,0.00000000024451646,1.9239,PowerLaw,1.92,15.1,1.23e- 11,19.0598,0
18,3FGL J0016.3- 0013,S3 0013-00,5BZQJ0016-0015,fsrq,4.046202296,-0.253457047,1.577,LSP,12.813,1,0.93,0,13.63,0.00000000064111161,2.6179,PowerLaw,2.62,1085.7144,0,19.9864,19.12
19,3FGL J0017.2- 0643,PMN J0017-0650,,bcu II,4.28913025,-6.84304379,0,LSP,13.67,0.81,0,0,6.22,0.00000000038799491,2.1162,PowerLaw,2.12,93.9766,0,18.6043,18.31
20,3FGL J0017.6- 0512,PMN J0017-0512,5BZQJ0017-0512,fsrq,4.399238408,-5.211602058,0.227,LSP,13.689,1,0.88,0.84,12,0.00000000079522233,2.5063,PowerLaw,2.51,178.4389,1.74e- 12,18.0884,17.02
21,3FGL J0018.4+2947,RBS 0042,5BZBJ0018+2947,bll,4.615790258,29.79199,0.1,HSP,16.813,1,0,0.93,4.96,0.00000000021357462,1.8645,PowerLaw,1.86,33.804,1.43e- 11,17.4709,18.04
22,3FGL J0018.9- 8152,PMN J0019-8152,5BZBJ0019-8152,bll,4.836017346,-81.88094733,0,HSP,15.144,1,0.82,0.91,10.65,0.00000000065296818,2.0754,PowerLaw,2.08,87,4.99e- 12,16.3476,0
23,3FGL J0019.1- 5645,PMN J0019-5641,,bcu II,4.860883283,-56.69512688,0,LSP,12.83,0.99,0,0,6.8,0.00000000028565708,2.3909,PowerLaw,2.39,60.6,0,21.3089,0
24,3FGL J0019.4+2021,PKS 0017+200,5BZBJ0019+2021,bll,4.907727063,20.36267901,0,LSP,12.32,0.99,0.92,0,5.04,0.00000000029451058,2.2486,PowerLaw,2.25,983.9924,0,19.899,19.16
25,3FGL J0021.6- 2553,CRATES J002132.55- 255049.3,5BZBJ0021-2550,bll,5.385622988,-25.84705203,0,ISP,14.528,0.99,0,0,11.57,0.00000000059683669,2.0993,PowerLaw,2.1,69.0158,0,17.2214,0
26,3FGL J0021.6- 6835,PKS 0021-686,,bcu II,6.028008646,-68.34849751,0,LSP,13.44,0.95,0.85,0,5.37,0.00000000021162896,2.6525,PowerLaw,2.65,1248,2.17e- 12,16.4931,0
27,3FGL J0022.1- 1855,1RXS J002209.2- 185333,5BZBJ0022-1853,bll,5.538621017,-18.89301871,0,HSP,15.13,0.99,0,0.83,16.69,0.00000000090110558,1.799,PowerLaw,1.8,22.5263,1.09e- 12,17.4473,0
28,3FGL J0022.1- 5141,1RXS J002159.2- 514028,5BZBJ0022-5140,bll,5.49933333,-51.6738056,0,HSP,15.68,1,0,0.9,13.71,0.00000000070081763,1.9874,PowerLaw,1.99,20,5.09e- 12,16.5794,0
29,3FGL J0022.5+0608,PKS 0019+058,5BZBJ0022+0608,bll,5.635171717,6.134519133,0,LSP,13.112,1,0.94,0,28.18,0.0000000021621784,2.0732,PowerLaw,2.07,340.3242,0,19.5096,17.83
30,3FGL J0023.5+4454,B3 0020+446,5BZUJ0023+4456,fsrq,5.897676979,44.94326604,1.062,LSP,13.05,1,0.8,0,8.96,0.00000000046260507,2.5685,PowerLaw,2.57,140.6026,0,0,0
31,3FGL J0024.4+0350,GB6 J0024+0349,5BZQJ0024+0349,fsrq,6.188405292,3.817663486,0.545,LSP,13.649,0.98,0,0,5.71,0.0000000003924302,2.2782,PowerLaw,2.28,22.085,0,19.8116,18.63
32,3FGL J0026.7- 4603,1RXS J002636.3- 460101,5BZBJ0026-4601,bll,6.64879166,-46.0192222,0,HSP,17.408,1,0,0.9,5.08,0.00000000020787713,2.4503,PowerLaw,2.45,38.7,1.41e- 11,18.0657,0
33,3FGL J0028.6+7507,GB6 J0028+7506,,bcu II,7.054430182,75.1035815,0,ISP,14.23,0.99,0,0,7.31,0.00000000054497018,2.3415,PowerLaw,2.34,81.0955,0,0,0
34,3FGL J0028.8+1951,TXS 0025+197,,bcu III,7.1242436875,20.0074288972,0,-,0,0.94,0,0,6.32,0.00000000037903075,2.4337,PowerLaw,2.43,287.094,0,19.9422,19.32
35,3FGL J0029.1- 7045,PKS 0026-710,5BZBJ0028-7045,bll,7.173177696,-70.7544241,0,ISP,14.23,1,0.93,0,12.06,0.00000000066322287,2.2845,PowerLaw,2.28,260,0,17.437,0
37,3FGL J0030.3- 4223,PKS 0027-426,5BZQJ0030-4224,fsrq,7.572885817,-42.41291134,0.495,LSP,13.414,1,0.92,0,28.75,0.000000001212056,2.5805,PowerLaw,2.58,424.8,0,18.6463,0
38,3FGL J0030.7- 0209,PKS B0027-024,,bcu II,7.632598963,-2.198925964,0,LSP,12.576,0.88,0.88,0,14.97,0.00000000087114221,2.3781,PowerLaw,2.38,297,0,18.5253,19.11
39,3FGL J0031.3+0724,NVSS J003119+072456,,bcu II,7.83212389583,7.41487726667,0,HSP,15.176,1,0,0,5.1,0.00000000022477475,1.8239,PowerLaw,1.82,12.1961,0,19.1672,17
40,3FGL J0032.3- 2852,PMN J0032-2849,5BZBJ0032-2849,bll,8.1379283,-28.8219896,0.324,ISP,14.702,0.98,0.81,0,4.89,0.00000000022694559,2.1895,PowerLaw,2.19,160.7332,0,17.1802,0
41,3FGL J0033.6- 1921,KUV 00311-1938,5BZBJ0033-1921,bll,8.393250683,-19.35920325,0.61,HSP,16.127,1,0.87,0.97,39.22,0.0000000027719498,1.7148,PowerLaw,1.71,18.8922,1.49e- 11,16.2586,0
42,3FGL J0035.2+1513,RX J0035.2+1515,5BZBJ0035+1515,bll,8.811350471,15.25115366,0,HSP,15.102,1,0,0.92,14,0.00000000082903812,1.8064,PowerLaw,1.81,18.8015,7.33e- 12,17.063,16.36
43,3FGL J0037.9+1239,NVSS J003750+123818,5BZBJ0037+1238,bll,9.462001046,12.63885527,0.089,HSP,15.407,1,0.86,0.82,13.34,0.00000000090294805,2.1515,PowerLaw,2.15,75.6788,7.96e- 13,14.3867,15.32
44,3FGL J0038.0+0012,NVSS J003808+001336,5BZBJ0038+0013,bll,9.535455021,0.226807031,0,LSP,13.94,1,0.82,0,7.45,0.0000000004187414,2.1565,PowerLaw,2.16,96.1486,0,19.6691,18.61
45,3FGL J0038.0- 2501,PKS 0035-252,5BZQJ0038-2459,fsrq,9.561397946,-24.98395424,1.196,LSP,12.758,1,0.87,0,10.1,0.00000000047668991,2.4389,PowerLaw,2.44,412.9883,2.41e- 12,17.291,0
46,3FGL J0039.0- 2218,PMN J0039-2220,,bcu I,9.784204571,-22.33374399,0.06438,HSP,16.08,0.98,0.8,0.82,4.41,0.00000000017347833,1.7154,PowerLaw,1.72,117.1528,2.59e- 12,11.5062,0
47,3FGL J0039.1+4330,NVSS J003907+433015,,bcu III,9.783997916666667,43.50406083333333,0,-,0,1,0,0,7.01,0.00000000033505904,1.9629,PowerLaw,1.96,8.1895,0,21.0586,0
48,3FGL J0039.1- 0939,TXS 0036-099,5BZQJ0039-0942,fsrq,9.776215271,-9.713024686,2.1015,LSP,13.014,0.98,0,0,4.76,0.0000000002348487,2.594,PowerLaw,2.59,154.0639,0,19.6655,0
49,3FGL J0040.3+4049,B3 0037+405,5BZUJ0040+4050,bcu I,10.056244,40.834811,0,-,0,1,0.82,0.89,6.38,0.000000000087253024,1.1323,PowerLaw,1.13,48.1528,2.55e- 12,19.1557,0
50,3FGL J0040.5- 2339,PMN J0040-2340,5BZGJ0040-2340,bcu I,10.1037829,-23.6669243,0.213,ISP,14.442,1,0,0,4.32,0.00000000018839813,1.9462,PowerLaw,1.95,53.675,0,16.5395,0
51,3FGL J0041.9+3639,RX J0042.0+3641,5BZBJ0042+3641,bll,10.5342397,36.6868656,0,HSP,16.5,1,0,0.87,4.63,0.00000000021891897,1.9758,PowerLaw,1.98,11.9769,3.68e- 12,18.0337,18.02
52,3FGL J0042.0+2318,PKS 0039+230,5BZQJ0042+2320,fsrq,10.5189382,23.33362831,1.426,LSP,12.62,0.99,0.92,0,6.09,0.00000000036210165,2.3544,PowerLaw,2.35,1269.8168,0,0,20.06
53,3FGL J0043.5- 0444,1RXS J004333.7- 044257,,bcu II,10.8921965,-4.71717104,0,HSP,17.25,1,0,0.9,5.84,0.00000000022798753,1.7346,PowerLaw,1.73,29.8202,4.92e- 12,19.2914,17.98
54,3FGL J0043.7- 1117,1RXS J004349.3- 111612,,bcu II,10.9529099,-11.2687809,0,HSP,15.44,1,0,0,5.9,0.00000000024505639,1.5937,PowerLaw,1.59,24.9304,1.10e- 12,18.0853,0
55,3FGL J0043.8+3425,GB6 J0043+3426,5BZQJ0043+3426,fsrq,10.95351295,34.44058118,0.966,ISP,14.104,1,0.89,0,22.65,0.0000000016137297,2.0447,PowerLaw,2.04,93.4095,0,19.9936,19.11
56,3FGL J0045.2- 3704,PKS 0042-373,,bcu II,11.30027487,-37.09679714,0,LSP,12.76,1,0.89,0,13.56,0.00000000055938582,2.5428,PowerLaw,2.54,329.8367,0,19.5963,0
57,3FGL J0045.3+2126,GB6 J0045+2127,5BZBJ0045+2127,bll,11.33040939,21.46111101,0,HSP,16.001,1,0.84,0.92,22.34,0.0000000013894633,1.899,PowerLaw,1.9,50.163,3.99e- 12,16.9632,16.37
58,3FGL J0045.7+1217,GB6 J0045+1217,5BZBJ0045+1217,bll,11.43058546,12.28661246,0,ISP,14.3,1,0.9,0.89,14.52,0.00000000095216846,1.9597,PowerLaw,1.96,103.8621,1.46e- 12,17.727,16.78
59,3FGL J0046.7- 8419,PKS 0044-84,5BZQJ0044-8422,fsrq,11.11120148,-84.37777467,1.032,LSP,13.418,1,0.9,0,6.24,0.00000000027727717,2.8206,PowerLaw,2.82,693.4,0,19.6494,0
60,3FGL J0048.0+2236,NVSS J004802+223525,5BZQJ0048+2235,fsrq,12.01090279,22.5900335,1.161,ISP,14.005,1,0.83,0,14.23,0.00000000093776986,2.3331,PowerLaw,2.33,83.8242,0,19.2605,18.03
61,3FGL J0048.0+3950,B3 0045+395,5BZBJ0047+3948,bll,11.9812272,39.8166789,0.252,HSP,15.398,1,0.83,0,9.22,0.00000000049839732,1.8768,PowerLaw,1.88,93.2223,5.41e- 13,17.4124,16.77
62,3FGL J0049.4- 4149,1RXS J004939.9- 415133,,bcu II,12.41217,-41.8605,0,HSP,15.85,0.99,0,0.81,5.66,0.00000000025201377,2.1545,PowerLaw,2.15,-999,2.03e- 12,19.4429,0
63,3FGL J0049.4- 5401,PMN J0049-5402,,bcu II,12.4523333,-54.0459167,0,HSP,15.56,0.96,0.83,0,5.97,0.00000000027920849,2.1434,PowerLaw,2.14,196.1,0,17.6117,0
64,3FGL J0049.7+0237,PKS 0047+023,5BZBJ0049+0237,bll,12.43014977,2.617716258,1.474,LSP,13.633,1,0.92,0,13.1,0.00000000079031948,2.244,PowerLaw,2.24,425.9764,0,18.8391,17.9
65,3FGL J0049.8- 5737,PKS 0047-579,5BZQJ0049-5738,fsrq,12.49780442,-57.64092776,1.797,LSP,13.151,1,0.97,0,10.08,0.00000000043349282,2.4622,PowerLaw,2.46,2045,9.07e- 13,16.9152,0
66,3FGL J0050.0- 4458,PMN J0049-4457,5BZUJ0049-4457,bcu I,12.31926691,-44.95310121,0.121,LSP,13.87,0.96,0.81,0,6.09,0.00000000024651042,2.5279,PowerLaw,2.53,336,3.65e- 12,16.5335,0
67,3FGL J0050.4- 0449,PKS 0047-051,5BZQJ0050-0452,fsrq,12.58972828,-4.872387403,0.92,LSP,13.232,1,0.84,0,9.03,0.00000000053713295,2.4499,PowerLaw,2.45,254.3971,0,19.7666,18.8
68,3FGL J0050.6- 0929,PKS 0048-09,5BZBJ0050-0929,bll,12.67215578,-9.484780658,0.635,ISP,14.614,1,0.97,0.95,41.98,0.0000000036230012,2.0931,PowerLaw,2.09,814.7206,5.03e- 12,16.8904,15.33
69,3FGL J0051.0- 0649,PKS 0048-071,5BZQJ0051-0650,fsrq,12.78420758,-6.833952508,1.975,LSP,13.303,1,0.95,0,18.39,0.0000000013976068,2.1047,LogParabola,2.29,904.6193,0,19.7449,18.83
70,3FGL J0051.2- 6241,1RXS J005117.7- 624154,5BZBJ0051-6242,bcu II,12.8185417,-62.7015,0,HSP,15.904,1,0.82,0.94,23.41,0.0000000011676106,1.6632,PowerLaw,1.66,43.2,4.57e- 12,16.7522,0
71,3FGL J0054.8- 2455,FRBA J0054-2455,5BZBJ0054-2455,bll,13.69483155,-24.9247831139,0,-,0,1,0,0.91,15.8,0.00000000083387225,1.7781,PowerLaw,1.78,24.4618,3.70e- 12,17.3597,0
72,3FGL J0055.2- 1213,TXS 0052-125,,bcu II,13.79909413,-12.29919368,0,LSP,12.305,0.99,0.82,0,4.71,0.00000000024247468,2.3968,PowerLaw,2.4,263.1171,0,0,0
74,3FGL J0056.3- 2116,PMN J0056-2117,5BZBJ0056-2117,bll,14.13448186,-21.2855899,0,ISP,14.67,0.97,0,0,12.03,0.00000000062974753,1.808,PowerLaw,1.81,90.3052,7.33e- 13,17.1106,0
75,3FGL J0057.9- 0542,PKS 0055-059,5BZQJ0058-0539,fsrq,14.52110964,-5.664521725,1.2456,LSP,12.941,0.98,0.9,0,5.2,0.00000000031057751,2.4154,PowerLaw,2.42,742.3824,0,18.8765,18.53
76,3FGL J0058.0- 3233,PKS 0055-328,5BZBJ0058-3234,bll,14.50929285,-32.57243031,0,LSP,13.44,1,0.91,0,20.52,0.0000000012200478,2.0583,PowerLaw,2.06,186.4143,0,19.7891,0
77,3FGL J0058.3+3315,MG3 J005830+3311,5BZUJ0058+3311,fsrq,14.63362102,33.18811493,1.369,LSP,13.31,0.98,0,0,8.25,0.0000000004654869,2.4073,PowerLaw,2.41,160.6733,0,19.7705,20.04
78,3FGL J0059.1- 5701,PKS 0056-572,5BZUJ0058-5659,bcu I,14.69408823,-56.98651954,0.018,LSP,12.778,1,0.87,0,11.24,0.00000000049518623,2.6164,PowerLaw,2.62,479.4,2.79e- 12,17.1454,0
79,3FGL J0059.2- 0152,1RXS J005916.3- 015030,5BZGJ0059-0150,bll,14.82053191,-1.838240181,0.144,HSP,15.815,0.99,0,0.83,6.01,0.00000000025755303,1.7376,PowerLaw,1.74,18.1395,2.15e- 12,16.2975,16.36
80,3FGL J0059.6+0003,PKS 0056-00,5BZQJ0059+0006,fsrq,14.77297887,0.114339136,0.719,LSP,13.291,0.96,0.92,0,4.5,0.00000000026460015,2.484,PowerLaw,2.48,2509.4783,9.13e- 13,17.728,17.44
81,3FGL J0100.2+0745,GB6 J0100+0745,5BZUJ0100+0745,bll,15.08660996,7.764279811,0,LSP,13.358,1,0.89,0,23.08,0.0000000015588008,1.7966,PowerLaw,1.8,98.8814,0,0,0
82,3FGL J0102.3+4217,GB6 J0102+4214,5BZQJ0102+4214,fsrq,15.613125,42.23860941,0.874,LSP,13.278,0.99,0,0,12.72,0.00000000052554044,2.6917,PowerLaw,2.69,43.2222,0,20.6234,17.93
83,3FGL J0103.7+1323,NVSS J010345+132346,,bcu III,15.940587499999998,13.395905,0,-,0,0.99,0,0,7.12,0.00000000038141826,1.9837,PowerLaw,1.98,51.9748,0,17.9616,17.59
84,3FGL J0105.1- 2415,PKS 0102-245,5BZQJ0104-2416,fsrq,16.24252245,-24.2745682,1.747,LSP,12.639,1,0.84,0,13.2,0.00000000054025812,2.6084,PowerLaw,2.61,234.6631,0,19.7291,0
85,3FGL J0105.3+3928,GB6 J0105+3928,5BZBJ0105+3928,bll,16.28831565,39.47092307,0.44,LSP,13.618,1,0.8,0,8.13,0.00000000044139892,2.3259,PowerLaw,2.33,91.5759,0,18.034,0
86,3FGL J0107.0- 1208,PMN J0107-1211,,bcu II,16.7991185,-12.1899304,0,ISP,14.04,0.98,0,0,5.1,0.00000000029477867,2.1802,PowerLaw,2.18,59.9279,0,18.3118,0
87,3FGL J0108.5- 0035,PKS 0105-008,5BZQJ0108-0037,fsrq,17.11184406,-0.623379325,1.37463,LSP,13.398,0.97,0.89,0,4.18,0.00000000026824926,2.3937,PowerLaw,2.39,932.8395,0,17.3056,17.15
88,3FGL J0108.7+0134,4C +01.02,5BZQJ0108+0135,fsrq,17.16154628,1.583421436,2.099,LSP,13.181,1,0.98,0,71.65,0.0000000052699587,2.2601,LogParabola,2.39,2621.3425,4.30e- 13,18.7792,17.49
89,3FGL J0109.1+1816,MG1 J010908+1816,5BZBJ0109+1816,bll,17.28407023,18.26875029,0.443,HSP,15.019,1,0.88,0.94,10.48,0.00000000056220367,2.0398,PowerLaw,2.04,90.8724,9.75e- 12,15.7406,16.37
90,3FGL J0109.9- 4020,RBS 0158,,bll,17.4854167,-40.3483611,0.313,HSP,16.168,1,0.83,0.94,7.67,0.00000000026918673,1.7274,PowerLaw,1.73,96,1.12e- 11,18.3015,0
91,3FGL J0110.9- 1254,1RXS J011050.0- 125455,5BZBJ0110-1255,bll,17.7081927,-12.9180659,0.234,HSP,16.541,1,0,0.93,5.81,0.00000000028746217,1.9252,PowerLaw,1.93,17.4963,1.51e- 11,16.9418,0
92,3FGL J0111.5+0535,1RXS J011130.5+053612,5BZBJ0111+0536,bll,17.8762732,5.6073214,0.346,-,0,1,0,0.88,5.15,0.00000000025035923,1.9169,PowerLaw,1.92,16.6643,4.50e- 12,19.0971,18.09
93,3FGL J0112.1+2245,S2 0109+22,5BZBJ0112+2244,bll,18.02426965,22.74410731,0.265,ISP,14.325,1,0.95,0.95,81.13,0.0000000087038003,1.9073,LogParabola,2.03,385.8865,4.70e- 12,15.621,14.22
94,3FGL J0112.8+3207,4C 31.03,5BZQJ0112+3208,fsrq,18.20972099,32.13817572,0.603,ISP,14.461,1,0.96,0,44.54,0.0000000030351306,2.3626,PowerLaw,2.36,684.8049,0,19.0233,15.97
95,3FGL J0113.0- 3554,PMN J0112-3552,,bcu II,18.1611031,-35.8579005,0,LSP,12.69,0.99,0,0,7.68,0.00000000031898961,2.5028,PowerLaw,2.5,77.8192,0,20.58,0
96,3FGL J0113.0- 3554,PMN J0113-3551,5BZQJ0113-3551,fsrq,18.31606838,-35.86343536,1.22,LSP,13.106,1,0.81,0,7.68,0.00000000031898961,2.5028,PowerLaw,2.5,180.1604,0,20.2674,0
97,3FGL J0113.4+4948,S4 0110+49,5BZQJ0113+4948,fsrq,18.36252838,49.80667864,0.389,LSP,13.253,1,0.95,0.9,12.22,0.00000000085819196,2.2991,PowerLaw,2.3,667.4039,2.96e- 12,18.8256,0
98,3FGL J0114.8+1326,GB6 J0114+1325,5BZBJ0114+1325,bll,18.71990408,13.4270902,0.583,ISP,14.999,1,0.86,0,19.02,0.0000000013008902,2.0773,PowerLaw,2.08,64.0045,0,17.2595,16.89
99,3FGL J0115.7+0356,PMN J0115+0356,5BZBJ0115+0356,bll,18.91879865,3.945361894,0,HSP,15.1,1,0.87,0,17.5,0.0000000011986299,2.1181,PowerLaw,2.12,99.5494,0,19.6699,16.31
100,3FGL J0115.8+2519,RX J0115.7+2519,5BZBJ0115+2519,bll,18.94225891,25.33148468,0.358,HSP,15.423,1,0.86,0.94,17.03,0.000000001150902,1.9869,PowerLaw,1.99,38.2683,5.03e- 12,18.2264,16.68
101,3FGL J0116.0- 1134,PKS 0113-118,5BZQJ0116-1136,fsrq,19.05217512,-11.60428744,0.67,LSP,13.103,1,0.96,0.81,19.86,0.0000000012034322,2.3439,PowerLaw,2.34,1785.387,1.75e- 12,17.5557,0
102,3FGL J0116.2- 2744,1RXS J011555.6- 274428,,bcu III,18.9814114,-27.7420685,0,-,0,0.95,0,0,5.48,0.00000000027675112,2.0225,PowerLaw,2.02,17.2735,2.14e- 12,19.7198,0
103,3FGL J0116.3- 6153,SUMSS J011619- 615343,5BZBJ0116-6153,bll,19.0817192,-61.8954205,0,ISP,14.525,1,0,0,9.9,0.00000000041408729,1.9621,PowerLaw,1.96,26.9,0,17.9754,0
104,3FGL J0117.8- 2113,PKS 0115-214,5BZQJ0117-2111,fsrq,19.45325058,-21.18517588,1.49,LSP,13.516,1,0.88,0,9.38,0.00000000084452517,2.3226,PowerLaw,2.32,254.7735,0,0,0
105,3FGL J0118.8- 2142,PKS 0116-219,5BZQJ0118-2141,fsrq,19.73859242,-21.69170559,1.165,LSP,13.18,1,0.92,0,28.43,0.0000000030032412,2.348,LogParabola,2.28,447.8999,2.50e- 13,19.8584,0
106,3FGL J0118.9- 1457,1RXS J011905.4- 145906,,bll,19.7696106,-14.9828842,0.1147,HSP,15.849,1,0,0.84,7.27,0.00000000029702588,1.7863,PowerLaw,1.79,5.5,2.41e- 12,18.5996,0
107,3FGL J0120.4- 2700,PKS 0118-272,5BZBJ0120-2701,bll,20.13193078,-27.02351461,0,ISP,14.325,1,0.97,0.9,45.64,0.0000000036857384,1.9141,PowerLaw,1.91,934.7742,1.27e- 12,16.1782,0
108,3FGL J0121.7+5154,NVSS J012133+515557,,bcu III,20.3902555,51.9325758,0,-,0,0.99,0,0,6.6,0.00000000045444848,1.9841,PowerLaw,1.98,8.4692,0,0,0
109,3FGL J0122.8+3423,1ES 0120+340,5BZBJ0123+3420,bll,20.7856494,34.3465021,0.272,HSP,17.464,0.99,0,0.93,9.58,0.00000000030583985,1.4847,PowerLaw,1.48,45.7066,6.14e- 11,16.8868,16.58
111,3FGL J0125.2- 0627,PMN J0124-0624,5BZBJ0124-0625,bll,21.21035809,-6.416925703,2.117,ISP,14.134,0.98,0,0,5.47,0.00000000035903458,2.2079,PowerLaw,2.21,41.6081,0,20.4365,18.47
112,3FGL J0125.4- 2548,PKS 0122-260,5BZBJ0125-2549,bll,21.32848946,-25.817886,0,LSP,13.36,0.99,0.84,0,8.71,0.00000000045559684,2.1296,PowerLaw,2.13,166.1506,0,20.2108,0
113,3FGL J0126.1- 2227,PKS 0123-226,5BZQJ0126-2222,fsrq,21.56250695,-22.37600097,0.72,ISP,14.641,0.92,0.88,0,10.35,0.00000000061247774,2.4303,PowerLaw,2.43,611.9944,4.60e- 13,18.6932,0
114,3FGL J0127.1- 0818,PMN J0127-0821,5BZBJ0127-0821,bll,21.81796339,-8.358026589,0.36,LSP,13.399,0.99,0,0,10.56,0.00000000062657168,2.2123,PowerLaw,2.21,112.6177,0,18.3046,18.04
115,3FGL J0127.2+0325,NVSS J012713+032259,,bcu II,21.808027,3.38303287,0,HSP,15.95,1,0,0,14.42,0.00000000088939184,1.8993,PowerLaw,1.9,16.1413,0,19.4474,16.79
116,3FGL J0127.9+2551,4C +25.05,5BZQJ0126+2559,fsrq,21.67830267,25.98369447,2.358,ISP,14.286,0.92,0.8,0,7.14,0.00000000018953766,3.0998,PowerLaw,3.1,1003.1298,1.93e- 12,17.8733,17.71
117,3FGL J0128.5+4430,GB6 J0128+4439,5BZUJ0128+4439,fsrq,22.17224547,44.65499474,0.228,LSP,13.969,0.98,0,0,7.55,0.00000000047884935,2.332,PowerLaw,2.33,36.9443,0,20.06,0
118,3FGL J0130.8+1441,4C +14.06,,fsrq,22.48061328,14.77995436,1.62636,LSP,13.369,0.89,0.8,0,4.3,0.00000000023075733,2.6505,PowerLaw,2.65,775.5174,0,19.7213,19.13
119,3FGL J0132.5- 0802,PKS 0130-083,,bcu I,23.17135853,-8.068009744,0.1485,HSP,15.81,0.99,0.85,0.85,4.53,0.0000000002332908,1.7529,PowerLaw,1.75,307.5772,4.63e- 12,13.9122,15.15
120,3FGL J0132.6- 1655,PKS 0130-17,5BZQJ0132-1654,fsrq,23.18119777,-16.91347831,1.02,LSP,13.435,1,0.96,0,34.58,0.0000000019207704,2.4301,PowerLaw,2.43,830.7576,0,17.145,0
