Entry number,Fermi name,Counterpart name,Bzcat5 name,Optical Class,RA (J2000.0),Dec (J2000.0),Redshift,SED Class,Log νSync. Z corr. (Hz),Probability Bayesian,Reliability LR RG,Reliability LR XG,Significance,Flux 1-100 GeV (ph/cm2/s),Spectral Index,Spectral Type,Power Law Index,Radio flux (mJy),X Flux (erg cm-2 s-1),USNO Vmag,SDSS Vmag
1546,3FGL J2325.2+3957,B3 2322+396,5BZBJ2325+3957,bll,351.3244576,39.96014124,0,LSP,13.705,1,0.91,0,23.4,0.0000000020423319,1.8544,LogParabola,2.01,113.9463,0,19.906,0
1547,3FGL J2325.3- 3557,CTS 0490,,fsrq,351.369558,-35.9654893,0.36,LSP,13.314,1,0.87,0,32.06,0.0000000022018998,1.9986,LogParabola,2.22,86.828,0,17.2229,0
1548,3FGL J2325.4- 4758,PKS 2322-482,5BZBJ2325-4800,bll,351.3619726,-48.00479567,0.221,ISP,14.162,1,0.92,0.87,17.86,0.0000000011752407,2.3108,PowerLaw,2.31,370.2,2.43e- 12,16.424,0
1549,3FGL J2325.6+1650,NVSS J232538+164641,5BZBJ2325+1646,bll,351.4088277,16.77853434,0,HSP,15.44,1,0,0,6.84,0.00000000038006853,2.1013,PowerLaw,2.1,52.7614,0,17.2143,17.33
1550,3FGL J2327.7+0941,PKS 2325+093,5BZQJ2327+0940,fsrq,351.8899191,9.669295183,1.843,LSP,12.684,1,0.92,0.8,21.51,0.0000000012818544,2.6781,PowerLaw,2.68,741.9811,1.77e- 12,18.4332,17.5
1551,3FGL J2328.4- 4034,PKS 2325-408,5BZQJ2328-4035,bcu II,352.0802702,-40.58606849,0,LSP,13.25,1,0.92,0,23.9,0.0000000019790094,2.3086,PowerLaw,2.31,291.3,0,19.4519,0
1552,3FGL J2329.2+3754,NVSS J232914+375414,5BZBJ2329+3754,bll,352.3094473,37.90402328,0.264,HSP,15.95,1,0.82,0.93,13.18,0.00000000083957619,1.9274,PowerLaw,1.93,20.383,4.19e- 12,17.6152,0
1554,3FGL J2329.9- 4734,PKS 2326-477,5BZQJ2329-4730,fsrq,352.3237682,-47.50530967,1.302,LSP,12.922,0.99,0.94,0,6.48,0.00000000037278555,2.2316,PowerLaw,2.23,3049,3.25e- 12,17.117,0
1555,3FGL J2330.4- 3726,PKS 2327-376,5BZBJ2330-3724,bll,352.6491492,-37.41054534,0.279,LSP,13.757,1,0.86,0,5.92,0.00000000029850097,2.3193,PowerLaw,2.32,305.0251,0,17.5536,0
1556,3FGL J2330.5+1104,4C +10.73,5BZQJ2330+1100,fsrq,352.6702178,11.00519714,1.489,LSP,12.806,1,0.92,0,7.54,0.00000000046009999,2.555,PowerLaw,2.56,1204.3945,8.08e- 13,18.5053,18.4
1557,3FGL J2330.8- 2144,PMN J2331-2148,5BZQJ2331-2148,fsrq,352.7667738,-21.8042328,0.563,LSP,13.154,0.9,0,0,26.37,0.0000000015321255,2.2316,LogParabola,2.41,49.5081,0,20.2412,0
1558,3FGL J2334.1+0732,TXS 2331+073,5BZQJ2334+0736,fsrq,353.5534507,7.607653219,0.401,LSP,12.826,1,0.9,0.8,11.33,0.00000000068533634,2.5048,PowerLaw,2.5,631.179,2.56e- 12,16.8807,16.7
